ID	Symbol	SPOT_ID	ENTREZ_GENE_ID
101927420_at	LOC101927420	uncharacterized LOC101927420	101927420
101927503_at	LOC101927503	uncharacterized LOC101927503	101927503
101927534_at	LOC101927534	uncharacterized LOC101927534	101927534
101927578_at	LOC101927578	uncharacterized LOC101927578	101927578
101927581_at	CCDC182	coiled-coil domain containing 182	101927581
101927608_at	LOC101927608	uncharacterized LOC101927608	101927608
101927702_at	LOC101927702	uncharacterized LOC101927702	101927702
101927703_at	FOXCUT	FOXC1 upstream transcript (non-protein coding)	101927703
101927710_at	LOC101927710	uncharacterized LOC101927710	101927710
101927720_at	ZNF793-AS1	ZNF793 antisense RNA 1 (head to head)	101927720
101927752_at	LOC101927752	uncharacterized LOC101927752	101927752
101927811_at	LOC101927811	uncharacterized LOC101927811	101927811
101927974_at	LOC101927974	uncharacterized LOC101927974	101927974
101928000_at	LOC101928000	uncharacterized LOC101928000	101928000
101928017_at	UBXN10-AS1	UBXN10 antisense RNA 1	101928017
101928061_at	LOC101928061	uncharacterized LOC101928061	101928061
101928069_at	LOC101928069	uncharacterized LOC101928069	101928069
101928120_at	LOC101928120	uncharacterized LOC101928120	101928120
101928134_at	LOC101928134	uncharacterized LOC101928134	101928134
101928158_at	LAMA5-AS1	LAMA5 antisense RNA 1	101928158
101928170_at	LOC101928170	DNA excision repair protein ERCC-6-like 2-like	101928170
101928221_at	LOC101928221	uncharacterized LOC101928221	101928221
101928230_at	LOC101928230	uncharacterized LOC101928230	101928230
101928281_at	LOC101928281	uncharacterized LOC101928281	101928281
101928304_at	LOC101928304	uncharacterized LOC101928304	101928304
101928343_at	LOC101928343	uncharacterized LOC101928343	101928343
101928403_at	LOC101928403	uncharacterized LOC101928403	101928403
101928419_at	LOC101928419	uncharacterized LOC101928419	101928419
101928483_at	NALT1	NOTCH1 associated lncRNA in T-cell acute lymphoblastic leukemia 1	101928483
101928513_at	CATIP-AS1	CATIP antisense RNA 1	101928513
101928525_at	LOC101928525	uncharacterized LOC101928525	101928525
101928571_at	ZNF649-AS1	ZNF649 antisense RNA 1	101928571
101928578_at	RAP2C-AS1	RAP2C antisense RNA 1	101928578
101928595_at	LOC101928595	uncharacterized LOC101928595	101928595
101928602_at	LOC101928602	uncharacterized LOC101928602	101928602
101928612_at	HSPC324	uncharacterized LOC101928612	101928612
101928647_at	LOC101928647	uncharacterized LOC101928647	101928647
101928649_at	CTC-338M12.4	uncharacterized LOC101928649	101928649
101928658_at	LOC101928658	uncharacterized LOC101928658	101928658
101928682_at	LOC101928682	uncharacterized LOC101928682	101928682
101928825_at	LOC101928825	uncharacterized LOC101928825	101928825
101928841_at	LOC101928841	collagen alpha-1(II) chain-like	101928841
101928844_at	LOC101928844	uncharacterized LOC101928844	101928844
101928881_at	LOC101928881	uncharacterized LOC101928881	101928881
101928965_at	LOC101928965	uncharacterized LOC101928965	101928965
101929072_at	LOC101929072	uncharacterized LOC101929072	101929072
101929112_at	LOC101929112	uncharacterized LOC101929112	101929112
101929243_at	LOC101929243	uncharacterized LOC101929243	101929243
101929247_at	LINC01231	long intergenic non-protein coding RNA 1231	101929247
101929280_at	LOC101929280	uncharacterized LOC101929280	101929280
101929335_at	ADAMTS9-AS1	ADAMTS9 antisense RNA 1	101929335
101929372_at	LOC101929372	uncharacterized LOC101929372	101929372
101929437_at	PRRX2-AS1	PRRX2 antisense RNA 1	101929437
101929536_at	LOC101929536	uncharacterized LOC101929536	101929536
101929636_at	LOC101929636	uncharacterized LOC101929636	101929636
101929681_at	LOC101929681	uncharacterized LOC101929681	101929681
101929693_at	RARA-AS1	RARA antisense RNA 1	101929693
101929718_at	LOC101929718	uncharacterized LOC101929718	101929718
10193_at	RNF41	ring finger protein 41	10193
101930071_at	LOC101930071	uncharacterized LOC101930071	101930071
101930114_at	LOC101930114	uncharacterized LOC101930114	101930114
10194_at	TSHZ1	teashirt zinc finger homeobox 1	10194
10195_at	ALG3	"ALG3, alpha-1,3- mannosyltransferase"	10195
10196_at	PRMT3	protein arginine methyltransferase 3	10196
10197_at	PSME3	proteasome activator subunit 3	10197
10199_at	MPHOSPH10	M-phase phosphoprotein 10	10199
102_at	ADAM10	ADAM metallopeptidase domain 10	102
1020_at	CDK5	cyclin dependent kinase 5	1020
10200_at	MPHOSPH6	M-phase phosphoprotein 6	10200
10201_at	NME6	NME/NM23 nucleoside diphosphate kinase 6	10201
10203_at	CALCRL	calcitonin receptor like receptor	10203
10204_at	NUTF2	nuclear transport factor 2	10204
10205_at	MPZL2	myelin protein zero like 2	10205
10206_at	TRIM13	tripartite motif containing 13	10206
10208_at	USPL1	ubiquitin specific peptidase like 1	10208
10209_at	EIF1	eukaryotic translation initiation factor 1	10209
